"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Throughput (128K)","Linux Reserved cost"
"R6GD Eight Extra Large","r6gd.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12 Gigabit","1187.5 MB/s","$847.6760 monthly"
"M6GD Eight Extra Large","m6gd.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12 Gigabit","1187.5 MB/s","$665.1760 monthly"
"C6GD Eight Extra Large","c6gd.8xlarge","64.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12 Gigabit","1187.5 MB/s","$565.0930 monthly"
"M6IDN Eight Extra Large","m6idn.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","50 Gigabit","3125.0 MB/s","$1170.8689 monthly"
"X2GD Eight Extra Large","x2gd.8xlarge","512.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12 Gigabit","1187.5 MB/s","$1202.0180 monthly"
"R7GD Eight Extra Large","r7gd.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","15 Gigabit","1250.0 MB/s","$998.9320 monthly"
"G6E 16xlarge","g6e.16xlarge","512.0 GiB","64 vCPUs","1900 GB                 (2 * 950 GB NVMe SSD)","35 Gigabit","2500.0 MB/s","$3484.7499 monthly"
"M7GD Eight Extra Large","m7gd.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","15 Gigabit","1250.0 MB/s","$785.7720 monthly"
"C7GD Eight Extra Large","c7gd.8xlarge","64.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","15 Gigabit","1250.0 MB/s","$667.8040 monthly"
"G6 Graphics and Machine Learning GPU 16xlarge","g6.16xlarge","256.0 GiB","64 vCPUs","1880 GB                 (2 * 940 GB NVMe SSD)","25 Gigabit","2500.0 MB/s","$1614.2636 monthly"
"I4I Double Extra Large","i4i.2xlarge","64.0 GiB","8 vCPUs","1875 GB                 NVMe SSD","Up to 12 Gigabit","312.5 MB/s","$324.8500 monthly"
"IM4GN Extra Large","im4gn.xlarge","16.0 GiB","4 vCPUs","1875 GB                 NVMe SSD","Up to 25 Gigabit","312.5 MB/s","$170.3163 monthly"
"I4G Double Extra Large","i4g.2xlarge","64.0 GiB","8 vCPUs","1875 GB                 NVMe SSD","Up to 12 Gigabit","312.5 MB/s","$292.6497 monthly"
"IS4GEN Large","is4gen.large","12.0 GiB","2 vCPUs","1875 GB                 NVMe SSD","Up to 25 Gigabit","156.25 MB/s","$143.4669 monthly"
"M5DN 12xlarge","m5dn.12xlarge","192.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","50 Gigabit","1187.5 MB/s","$1500.8800 monthly"
"R5D 12xlarge","r5d.12xlarge","384.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","1187.5 MB/s","$1589.2100 monthly"
"Z1D 12xlarge","z1d.12xlarge","384.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$2052.7600 monthly"
"C5 High-CPU 18xlarge","c5d.18xlarge","144.0 GiB","72 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$1589.2100 monthly"
"R5DN 12xlarge","r5dn.12xlarge","384.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","50 Gigabit","1187.5 MB/s","$1843.2500 monthly"
"M5 General Purpose 12xlarge","m5d.12xlarge","192.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","1187.5 MB/s","$1247.5700 monthly"
"C5 High-CPU 12xlarge","c5d.12xlarge","96.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","1187.5 MB/s","$1059.9600 monthly"
"C5AD 12xlarge","c5ad.12xlarge","96.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","593.75 MB/s","$949.0000 monthly"
"G4DN Metal","g4dn.metal","384.0 GiB","96 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","100 Gigabit","2375.0 MB/s","$3598.1700 monthly"
"M5AD 12xlarge","m5ad.12xlarge","192.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","10 Gigabit","847.5 MB/s","$1136.6100 monthly"
"R5AD 12xlarge","r5ad.12xlarge","384.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","10 Gigabit","847.5 MB/s","$1446.1300 monthly"
"Z1D Metal","z1d.metal","384.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$2052.7600 monthly"
"P3DN 24xlarge","p3dn.24xlarge","768.0 GiB","96 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","100 Gigabit","2375.0 MB/s","$14026.9500 monthly"
"M1 General Purpose Extra Large","m1.xlarge","15.0 GiB","4 vCPUs","1680 GB                 (4 * 420 GB HDD)","High","125.0 MB/s","$163.5200 monthly"
"M2 High Memory Quadruple Extra Large","m2.4xlarge","68.4 GiB","8 vCPUs","1680 GB                 (2 * 840 GB HDD)","High","125.0 MB/s","$324.1200 monthly"
"C1 High-CPU Extra Large","c1.xlarge","7.0 GiB","8 vCPUs","1680 GB                 (4 * 420 GB HDD)","High","125.0 MB/s","$265.7200 monthly"
"I2 Double Extra Large","i2.2xlarge","61.0 GiB","8 vCPUs","1600 GB                 (2 * 800 GB SSD)","High","125.0 MB/s","$619.0400 monthly"
"I3EN Large","i3en.large","16.0 GiB","2 vCPUs","1250 GB                 NVMe SSD","Up to 25 Gigabit","72.1 MB/s","$112.4200 monthly"
"M5 General Purpose Eight Extra Large","m5d.8xlarge","128.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","850.0 MB/s","$831.4700 monthly"
"R5DN Eight Extra Large","r5dn.8xlarge","256.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","25 Gigabit","850.0 MB/s","$1228.5900 monthly"
"M5DN Eight Extra Large","m5dn.8xlarge","128.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","25 Gigabit","850.0 MB/s","$1000.8300 monthly"
"C5AD Eight Extra Large","c5ad.8xlarge","64.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","396.25 MB/s","$632.9100 monthly"
"R5D Eight Extra Large","r5d.8xlarge","256.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","850.0 MB/s","$1059.9600 monthly"
"M5AD Eight Extra Large","m5ad.8xlarge","128.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","Up to 10 Gigabit","593.75 MB/s","$757.7400 monthly"
"R5AD Eight Extra Large","r5ad.8xlarge","256.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","Up to 10 Gigabit","593.75 MB/s","$963.6000 monthly"
"G4AD Eight Extra Large","g4ad.8xlarge","128.0 GiB","32 vCPUs","1200 GB                 NVMe SSD","15 Gigabit","396.25 MB/s","$797.4666 monthly"
"X1E Eight Extra Large","x1e.8xlarge","976.0 GiB","32 vCPUs","960 GB                 SSD","Up to 10 Gigabit","437.5 MB/s","$3001.7600 monthly"
"R6IDN Quadruple Extra Large","r6idn.4xlarge","128.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 50 Gigabit","1562.5 MB/s","$718.8821 monthly"
"C6ID Quadruple Extra Large","c6id.4xlarge","32.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 12.5 Gigabit","625.0 MB/s","$370.9860 monthly"
"R6GD Quadruple Extra Large","r6gd.4xlarge","128.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","593.75 MB/s","$423.8380 monthly"
"R6ID Quadruple Extra Large","r6id.4xlarge","128.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 12.5 Gigabit","625.0 MB/s","$554.9460 monthly"
"C7GD Quadruple Extra Large","c7gd.4xlarge","32.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 15 Gigabit","625.0 MB/s","$333.9020 monthly"
"M6ID Quadruple Extra Large","m6id.4xlarge","64.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 12.5 Gigabit","625.0 MB/s","$436.5400 monthly"
"M6GD Quadruple Extra Large","m6gd.4xlarge","64.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","593.75 MB/s","$332.5880 monthly"
"M6IDN Quadruple Extra Large","m6idn.4xlarge","64.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 50 Gigabit","1562.5 MB/s","$585.4308 monthly"
"I3 High I/O Extra Large","i3.xlarge","30.5 GiB","4 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","106.25 MB/s","$156.2200 monthly"
"R7GD Quadruple Extra Large","r7gd.4xlarge","128.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 15 Gigabit","625.0 MB/s","$499.4660 monthly"
"X2IEDN Eight Extra Large","x2iedn.8xlarge","1024.0 GiB","32 vCPUs","950 GB                 NVMe SSD","25 Gigabit","2500.0 MB/s","$2995.5112 monthly"
"C6GD Quadruple Extra Large","c6gd.4xlarge","32.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","593.75 MB/s","$282.5830 monthly"
"M7GD Quadruple Extra Large","m7gd.4xlarge","64.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 15 Gigabit","625.0 MB/s","$392.8860 monthly"
"X2GD Quadruple Extra Large","x2gd.4xlarge","256.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","593.75 MB/s","$601.0090 monthly"
"F1 Quadruple Extra Large","f1.4xlarge","244.0 GiB","16 vCPUs","940 GB                 NVMe SSD","Up to 10 Gigabit","437.5 MB/s","$1628.6300 monthly"
"I4I Extra Large","i4i.xlarge","32.0 GiB","4 vCPUs","937 GB                 NVMe SSD","Up to 10 Gigabit","156.25 MB/s","$162.7900 monthly"
"IM4GN Large","im4gn.large","8.0 GiB","2 vCPUs","937 GB                 NVMe SSD","Up to 25 Gigabit","156.25 MB/s","$85.1545 monthly"
"I4G Extra Large","i4g.xlarge","32.0 GiB","4 vCPUs","937 GB                 NVMe SSD","Up to 10 Gigabit","156.25 MB/s","$146.3285 monthly"
"IS4GEN Medium","is4gen.medium","6.0 GiB","1 vCPUs","937 GB                 NVMe SSD","Up to 25 Gigabit","78.125 MB/s","$71.7298 monthly"
"C5 High-CPU 9xlarge","c5d.9xlarge","72.0 GiB","36 vCPUs","900 GB                 NVMe SSD","12 Gigabit","1187.5 MB/s","$794.9700 monthly"
"G5 Graphics and Machine Learning GPU Eight Extra Large","g5.8xlarge","128.0 GiB","32 vCPUs","900 GB                 NVMe SSD","25 Gigabit","2000.0 MB/s","$1125.8352 monthly"
"G6E Eight Extra Large","g6e.8xlarge","256.0 GiB","32 vCPUs","900 GB                 (2 * 450 GB NVMe SSD)","25 Gigabit","2000.0 MB/s","$2082.6827 monthly"
"G4DN Eight Extra Large","g4dn.8xlarge","128.0 GiB","32 vCPUs","900 GB                 NVMe SSD","50 Gigabit","1187.5 MB/s","$1000.8300 monthly"
"G4DN 12xlarge","g4dn.12xlarge","192.0 GiB","48 vCPUs","900 GB                 NVMe SSD","50 Gigabit","1187.5 MB/s","$1799.4500 monthly"
"Z1D 6xlarge","z1d.6xlarge","192.0 GiB","24 vCPUs","900 GB                 NVMe SSD","12 Gigabit","1187.5 MB/s","$1026.3800 monthly"
"Gr6 Graphics and Machine Learning GPU High RAM ratio Eight Extra Large","gr6.8xlarge","256.0 GiB","32 vCPUs","900 GB                 (2 * 450 GB NVMe SSD)","25 Gigabit","2000.0 MB/s","$1162.6053 monthly"
"G4DN 16xlarge","g4dn.16xlarge","256.0 GiB","64 vCPUs","900 GB                 NVMe SSD","50 Gigabit","1187.5 MB/s","$2001.6600 monthly"
"G6 Graphics and Machine Learning GPU Eight Extra Large","g6.8xlarge","128.0 GiB","32 vCPUs","900 GB                 (2 * 450 GB NVMe SSD)","25 Gigabit","2000.0 MB/s","$957.3001 monthly"
"M2 High Memory Double Extra Large","m2.2xlarge","34.2 GiB","4 vCPUs","850 GB                 HDD","Moderate","62.5 MB/s","$162.0600 monthly"
"M1 General Purpose Large","m1.large","7.5 GiB","2 vCPUs","840 GB                 (2 * 420 GB HDD)","Moderate","62.5 MB/s","$81.7600 monthly"
"I2 Extra Large","i2.xlarge","30.5 GiB","4 vCPUs","800 GB                 SSD","Moderate","62.5 MB/s","$309.5200 monthly"
"R3 High-Memory Eight Extra Large","r3.8xlarge","244.0 GiB","32 vCPUs","640 GB                 (2 * 320 GB SSD)","10 Gigabit","0 MB/s","$1220.5600 monthly"
"C3 High-CPU Eight Extra Large","c3.8xlarge","60.0 GiB","32 vCPUs","640 GB                 (2 * 320 GB SSD)","10 Gigabit","0 MB/s","$852.6400 monthly"
"R5AD Quadruple Extra Large","r5ad.4xlarge","128.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","360.0 MB/s","$481.8000 monthly"
"R5D Quadruple Extra Large","r5d.4xlarge","128.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","593.75 MB/s","$529.9800 monthly"
"C5AD Quadruple Extra Large","c5ad.4xlarge","32.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","197.5 MB/s","$316.0900 monthly"
"G5 Graphics and Machine Learning GPU Quadruple Extra Large","g5.4xlarge","64.0 GiB","16 vCPUs","600 GB                 NVMe SSD","Up to 25 Gigabit","593.75 MB/s","$746.8776 monthly"
"G6 Graphics and Machine Learning GPU Quadruple Extra Large","g6.4xlarge","64.0 GiB","16 vCPUs","600 GB                 NVMe SSD","Up to 25 Gigabit","1000.0 MB/s","$628.8220 monthly"
"M5DN Quadruple Extra Large","m5dn.4xlarge","64.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 25 Gigabit","593.75 MB/s","$500.0500 monthly"
"M5 General Purpose Quadruple Extra Large","m5d.4xlarge","64.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","593.75 MB/s","$416.1000 monthly"
"G6E Quadruple Extra Large","g6e.4xlarge","128.0 GiB","16 vCPUs","600 GB                 NVMe SSD","20 Gigabit","1000.0 MB/s","$1381.6491 monthly"
"M5AD Quadruple Extra Large","m5ad.4xlarge","64.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","360.0 MB/s","$378.8700 monthly"
"R5DN Quadruple Extra Large","r5dn.4xlarge","128.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 25 Gigabit","593.75 MB/s","$614.6600 monthly"
"Gr6 Graphics and Machine Learning GPU High RAM ratio Quadruple Extra Large","gr6.4xlarge","128.0 GiB","16 vCPUs","600 GB                 NVMe SSD","Up to 25 Gigabit","1000.0 MB/s","$731.4746 monthly"
"G4AD Quadruple Extra Large","g4ad.4xlarge","64.0 GiB","16 vCPUs","600 GB                 NVMe SSD","Up to 10 Gigabit","197.5 MB/s","$398.7333 monthly"
"X1E Quadruple Extra Large","x1e.4xlarge","488.0 GiB","16 vCPUs","480 GB                 SSD","Up to 10 Gigabit","218.75 MB/s","$1500.8800 monthly"
"X2IEDN Quadruple Extra Large","x2iedn.4xlarge","512.0 GiB","16 vCPUs","475 GB                 NVMe SSD","Up to 25 Gigabit","1250.0 MB/s","$1497.7556 monthly"
"X2GD Double Extra Large","x2gd.2xlarge","128.0 GiB","8 vCPUs","475 GB                 NVMe SSD","Up to 10 Gigabit","296.875 MB/s","$300.5410 monthly"
"I3 High I/O Large","i3.large","15.25 GiB","2 vCPUs","475 GB                 NVMe SSD","Up to 10 Gigabit","53.125 MB/s","$78.1100 monthly"
"M6ID Double Extra Large","m6id.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 12.5 Gigabit","312.5 MB/s","$218.2700 monthly"
"R6ID Double Extra Large","r6id.2xlarge","64.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 12.5 Gigabit","312.5 MB/s","$277.4730 monthly"
"C6ID Double Extra Large","c6id.2xlarge","16.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 12.5 Gigabit","312.5 MB/s","$185.4930 monthly"
"M6IDN Double Extra Large","m6idn.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 40 Gigabit","781.25 MB/s","$292.7154 monthly"
"M7GD Double Extra Large","m7gd.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 15 Gigabit","312.5 MB/s","$196.4430 monthly"
"C7GD Double Extra Large","c7gd.2xlarge","16.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 15 Gigabit","312.5 MB/s","$166.9510 monthly"
"R7GD Double Extra Large","r7gd.2xlarge","64.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 15 Gigabit","312.5 MB/s","$249.7330 monthly"
"R6GD Double Extra Large","r6gd.2xlarge","64.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 10 Gigabit","296.875 MB/s","$211.9190 monthly"
"M6GD Double Extra Large","m6gd.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 10 Gigabit","296.875 MB/s","$166.2940 monthly"
"C6GD Double Extra Large","c6gd.2xlarge","16.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 10 Gigabit","296.875 MB/s","$141.2550 monthly"
"R6IDN Double Extra Large","r6idn.2xlarge","64.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 40 Gigabit","781.25 MB/s","$359.4374 monthly"
"TRN1 Double Extra Large","trn1.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 12.5 Gigabit","625.0 MB/s","$603.5713 monthly"
"F1 Double Extra Large","f1.2xlarge","122.0 GiB","8 vCPUs","470 GB                 NVMe SSD","Up to 10 Gigabit","212.5 MB/s","$814.6800 monthly"
"I4G Large","i4g.large","16.0 GiB","2 vCPUs","468 GB                 NVMe SSD","Up to 10 Gigabit","78.125 MB/s","$73.1606 monthly"
"I4I Large","i4i.large","16.0 GiB","2 vCPUs","468 GB                 NVMe SSD","Up to 10 Gigabit","78.125 MB/s","$81.0300 monthly"
"G6E Double Extra Large","g6e.2xlarge","64.0 GiB","8 vCPUs","450 GB                 NVMe SSD","Up to 20 Gigabit","250.0 MB/s","$1031.1323 monthly"
"Z1D 3xlarge","z1d.3xlarge","96.0 GiB","12 vCPUs","450 GB                 NVMe SSD","Up to 10 Gigabit","593.75 MB/s","$513.1900 monthly"
"G6 Graphics and Machine Learning GPU Double Extra Large","g6.2xlarge","32.0 GiB","8 vCPUs","450 GB                 NVMe SSD","Up to 10 Gigabit","250.0 MB/s","$464.5866 monthly"
"G5 Graphics and Machine Learning GPU Double Extra Large","g5.2xlarge","32.0 GiB","8 vCPUs","450 GB                 NVMe SSD","Up to 10 Gigabit","106.25 MB/s","$557.3988 monthly"
"M2 High Memory Extra Large","m2.xlarge","17.1 GiB","2 vCPUs","420 GB                 HDD","Moderate","0 MB/s","$81.0300 monthly"
"M1 General Purpose Medium","m1.medium","3.75 GiB","1 vCPUs","410 GB                 HDD","Moderate","0 MB/s","$40.8800 monthly"
"C5 High-CPU Quadruple Extra Large","c5d.4xlarge","32.0 GiB","16 vCPUs","400 GB                 NVMe SSD","Up to 10 Gigabit","593.75 MB/s","$353.3200 monthly"
"C1 High-CPU Medium","c1.medium","1.7 GiB","2 vCPUs","350 GB                 HDD","Moderate","0 MB/s","$66.4300 monthly"
"R3 High-Memory Quadruple Extra Large","r3.4xlarge","122.0 GiB","16 vCPUs","320 GB                 SSD","High","250.0 MB/s","$610.2800 monthly"
"C3 High-CPU Quadruple Extra Large","c3.4xlarge","30.0 GiB","16 vCPUs","320 GB                 (2 * 160 GB SSD)","High","250.0 MB/s","$426.3200 monthly"
"M5 General Purpose Double Extra Large","m5d.2xlarge","32.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","287.5 MB/s","$208.0500 monthly"
"Z1D Double Extra Large","z1d.2xlarge","64.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","396.25 MB/s","$342.3700 monthly"
"R5AD Double Extra Large","r5ad.2xlarge","64.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","197.5 MB/s","$240.9000 monthly"
"M5DN Double Extra Large","m5dn.2xlarge","32.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 25 Gigabit","287.5 MB/s","$250.3900 monthly"
"C5AD Double Extra Large","c5ad.2xlarge","16.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","100.0 MB/s","$158.4100 monthly"
"M5AD Double Extra Large","m5ad.2xlarge","32.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","197.5 MB/s","$189.8000 monthly"
"R5DN Double Extra Large","r5dn.2xlarge","64.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 25 Gigabit","287.5 MB/s","$307.3300 monthly"
"R5D Double Extra Large","r5d.2xlarge","64.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","287.5 MB/s","$264.9900 monthly"
"G4AD Double Extra Large","g4ad.2xlarge","32.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","100.0 MB/s","$248.8862 monthly"
"G6 Graphics and Machine Learning GPU Extra Large","g6.xlarge","16.0 GiB","4 vCPUs","250 GB                 NVMe SSD","Up to 10 Gigabit","125.0 MB/s","$382.4616 monthly"
"G6E Extra Large","g6e.xlarge","32.0 GiB","4 vCPUs","250 GB                 NVMe SSD","Up to 20 Gigabit","125.0 MB/s","$855.8739 monthly"
"G5 Graphics and Machine Learning GPU Extra Large","g5.xlarge","16.0 GiB","4 vCPUs","250 GB                 NVMe SSD","Up to 10 Gigabit","87.5 MB/s","$462.6594 monthly"
"X1E Double Extra Large","x1e.2xlarge","244.0 GiB","8 vCPUs","240 GB                 SSD","Up to 10 Gigabit","125.0 MB/s","$750.4400 monthly"
"M6GD Extra Large","m6gd.xlarge","16.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 10 Gigabit","148.5 MB/s","$83.1470 monthly"
"M6ID Extra Large","m6id.xlarge","16.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","156.25 MB/s","$109.1350 monthly"
"M6IDN Extra Large","m6idn.xlarge","16.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 30 Gigabit","390.625 MB/s","$146.3577 monthly"
"C7GD Extra Large","c7gd.xlarge","8.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","156.25039999999998 MB/s","$83.4390 monthly"
"X2IEDN Double Extra Large","x2iedn.2xlarge","256.0 GiB","8 vCPUs","237 GB                 NVMe SSD","Up to 25 Gigabit","625.0 MB/s","$748.8778 monthly"
"C6ID Extra Large","c6id.xlarge","8.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","156.25 MB/s","$92.7465 monthly"
"R6ID Extra Large","r6id.xlarge","32.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","156.25 MB/s","$138.7365 monthly"
"C6GD Extra Large","c6gd.xlarge","8.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 10 Gigabit","148.5 MB/s","$70.6640 monthly"
"R7GD Extra Large","r7gd.xlarge","32.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","156.25039999999998 MB/s","$124.8300 monthly"
"M7GD Extra Large","m7gd.xlarge","16.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","156.25039999999998 MB/s","$98.1850 monthly"
"R6GD Extra Large","r6gd.xlarge","32.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 10 Gigabit","148.5 MB/s","$105.9960 monthly"
"R6IDN Extra Large","r6idn.xlarge","32.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 30 Gigabit","390.625 MB/s","$179.7187 monthly"
"X2GD Extra Large","x2gd.xlarge","64.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 10 Gigabit","148.5 MB/s","$150.2340 monthly"
"G4DN Double Extra Large","g4dn.2xlarge","32.0 GiB","8 vCPUs","225 GB                 NVMe SSD","Up to 25 Gigabit","143.75 MB/s","$346.0200 monthly"
"G4DN Quadruple Extra Large","g4dn.4xlarge","64.0 GiB","16 vCPUs","225 GB                 NVMe SSD","Up to 25 Gigabit","593.75 MB/s","$554.0700 monthly"
"C5 High-CPU Double Extra Large","c5d.2xlarge","16.0 GiB","8 vCPUs","200 GB                 NVMe SSD","Up to 10 Gigabit","287.5 MB/s","$176.6600 monthly"
"R3 High-Memory Double Extra Large","r3.2xlarge","61.0 GiB","8 vCPUs","160 GB                 SSD","High","125.0 MB/s","$305.1400 monthly"
"M3 General Purpose Double Extra Large","m3.2xlarge","30.0 GiB","8 vCPUs","160 GB                 (2 * 80 GB SSD)","High","125.0 MB/s","$277.4000 monthly"
"C3 High-CPU Double Extra Large","c3.2xlarge","15.0 GiB","8 vCPUs","160 GB                 (2 * 80 GB SSD)","High","125.0 MB/s","$213.1600 monthly"
"M1 General Purpose Small","m1.small","1.7 GiB","1 vCPUs","160 GB                 HDD","Low","0 MB/s","$20.4400 monthly"
"R5AD Extra Large","r5ad.xlarge","32.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","135.625 MB/s","$120.4500 monthly"
"R5DN Extra Large","r5dn.xlarge","32.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 25 Gigabit","143.75 MB/s","$153.3000 monthly"
"M5DN Extra Large","m5dn.xlarge","16.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 25 Gigabit","143.75 MB/s","$124.8300 monthly"
"M5AD Extra Large","m5ad.xlarge","16.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","135.625 MB/s","$94.9000 monthly"
"G4AD Extra Large","g4ad.xlarge","16.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","50.0 MB/s","$174.0831 monthly"
"C5AD Extra Large","c5ad.xlarge","8.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","50.0 MB/s","$78.8400 monthly"
"M5 General Purpose Extra Large","m5d.xlarge","16.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","143.75 MB/s","$103.6600 monthly"
"R5D Extra Large","r5d.xlarge","32.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","143.75 MB/s","$132.1300 monthly"
"Z1D Extra Large","z1d.xlarge","32.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","197.5 MB/s","$170.8200 monthly"
"G4DN Extra Large","g4dn.xlarge","16.0 GiB","4 vCPUs","125 GB                 NVMe SSD","Up to 25 Gigabit","118.75 MB/s","$241.6300 monthly"
"X1E Extra Large","x1e.xlarge","122.0 GiB","4 vCPUs","120 GB                 SSD","Up to 10 Gigabit","62.5 MB/s","$375.2200 monthly"
