"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"G4DN Double Extra Large","g4dn.2xlarge","32.0 GiB","8 vCPUs","225 GB                 NVMe SSD","Up to 25 Gigabit","1150 Mbps","143.75 MB/s","6000 IOPS","3500 Mbps","143.75 MB/s","20000 IOPS","$548.9600 monthly","$346.0200 monthly","$165.7830 monthly"
"G4DN Quadruple Extra Large","g4dn.4xlarge","64.0 GiB","16 vCPUs","225 GB                 NVMe SSD","Up to 25 Gigabit","4750 Mbps","593.75 MB/s","20000 IOPS","4750 Mbps","593.75 MB/s","20000 IOPS","$878.9200 monthly","$554.0700 monthly","$319.5940 monthly"
"C5 High-CPU Double Extra Large","c5d.2xlarge","16.0 GiB","8 vCPUs","200 GB                 NVMe SSD","Up to 10 Gigabit","2300 Mbps","287.5 MB/s","10000 IOPS","4750 Mbps","287.5 MB/s","20000 IOPS","$280.3200 monthly","$176.6600 monthly","$110.8140 monthly"
"R3 High-Memory Double Extra Large","r3.2xlarge","61.0 GiB","8 vCPUs","160 GB                 SSD","High","1000 Mbps","125.0 MB/s","8000 IOPS","1000 Mbps","125.0 MB/s","8000 IOPS","$485.4500 monthly","$305.1400 monthly","$170.4550 monthly"
"M3 General Purpose Double Extra Large","m3.2xlarge","30.0 GiB","8 vCPUs","160 GB                 (2 * 80 GB SSD)","High","1000 Mbps","125.0 MB/s","8000 IOPS","1000 Mbps","125.0 MB/s","8000 IOPS","$388.3600 monthly","$277.4000 monthly","$102.6380 monthly"
"C3 High-CPU Double Extra Large","c3.2xlarge","15.0 GiB","8 vCPUs","160 GB                 (2 * 80 GB SSD)","High","1000 Mbps","125.0 MB/s","8000 IOPS","1000 Mbps","125.0 MB/s","8000 IOPS","$306.6000 monthly","$213.1600 monthly","$107.6750 monthly"
"M1 General Purpose Small","m1.small","1.7 GiB","1 vCPUs","160 GB                 HDD","Low","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","$32.1200 monthly","$20.4400 monthly","$4.5260 monthly"
"R5AD Extra Large","r5ad.xlarge","32.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","1085 Mbps","135.625 MB/s","6000 IOPS","2880 Mbps","135.625 MB/s","16000 IOPS","$191.2600 monthly","$120.4500 monthly","$74.8980 monthly"
"R5DN Extra Large","r5dn.xlarge","32.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 25 Gigabit","1150 Mbps","143.75 MB/s","6000 IOPS","4750 Mbps","143.75 MB/s","18750 IOPS","$243.8200 monthly","$153.3000 monthly","$87.8920 monthly"
"M5DN Extra Large","m5dn.xlarge","16.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 25 Gigabit","1150 Mbps","143.75 MB/s","6000 IOPS","4750 Mbps","143.75 MB/s","18750 IOPS","$198.5600 monthly","$124.8300 monthly","$77.9640 monthly"
"M5AD Extra Large","m5ad.xlarge","16.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","1085 Mbps","135.625 MB/s","6000 IOPS","2880 Mbps","135.625 MB/s","16000 IOPS","$150.3800 monthly","$94.9000 monthly","$71.4670 monthly"
"G4AD Extra Large","g4ad.xlarge","16.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","400 Mbps","50.0 MB/s","1700 IOPS","3170 Mbps","50.0 MB/s","13333 IOPS","$276.3269 monthly","$174.0831 monthly","$78.6940 monthly"
"C5AD Extra Large","c5ad.xlarge","8.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","400 Mbps","50.0 MB/s","1600 IOPS","3170 Mbps","50.0 MB/s","13300 IOPS","$125.5600 monthly","$78.8400 monthly","$52.9250 monthly"
"M5 General Purpose Extra Large","m5d.xlarge","16.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","1150 Mbps","143.75 MB/s","6000 IOPS","4750 Mbps","143.75 MB/s","18750 IOPS","$164.9800 monthly","$103.6600 monthly","$78.1100 monthly"
"R5D Extra Large","r5d.xlarge","32.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","1150 Mbps","143.75 MB/s","6000 IOPS","4750 Mbps","143.75 MB/s","18750 IOPS","$210.2400 monthly","$132.1300 monthly","$97.0170 monthly"
"Z1D Extra Large","z1d.xlarge","32.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","1580 Mbps","197.5 MB/s","6667 IOPS","3170 Mbps","197.5 MB/s","13333 IOPS","$271.5600 monthly","$170.8200 monthly","$75.7010 monthly"
"G4DN Extra Large","g4dn.xlarge","16.0 GiB","4 vCPUs","125 GB                 NVMe SSD","Up to 25 Gigabit","950 Mbps","118.75 MB/s","3000 IOPS","3500 Mbps","118.75 MB/s","20000 IOPS","$383.9800 monthly","$241.6300 monthly","$114.0260 monthly"
"X1E Extra Large","x1e.xlarge","122.0 GiB","4 vCPUs","120 GB                 SSD","Up to 10 Gigabit","500 Mbps","62.5 MB/s","3700 IOPS","500 Mbps","62.5 MB/s","3700 IOPS","$608.8200 monthly","$375.2200 monthly","$86.6510 monthly"
"R7GD Large","r7gd.large","16.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","630 Mbps","78.75 MB/s","3600 IOPS","10000 Mbps","78.75 MB/s","40000 IOPS","$99.3530 monthly","$62.4150 monthly","$28.7620 monthly"
"X2IEDN Extra Large","x2iedn.xlarge","128.0 GiB","4 vCPUs","118 GB                 NVMe SSD","Up to 25 Gigabit","2500 Mbps","312.5 MB/s","8125 IOPS","20000 Mbps","312.5 MB/s","65000 IOPS","$608.5499 monthly","$374.4389 monthly","$87.4540 monthly"
"C6ID Large","c6id.large","4.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","10000 Mbps","81.25 MB/s","40000 IOPS","$73.5840 monthly","$46.3769 monthly","$25.1850 monthly"
"C7GD Large","c7gd.large","4.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","630 Mbps","78.75 MB/s","3600 IOPS","10000 Mbps","78.75 MB/s","40000 IOPS","$66.2110 monthly","$41.7560 monthly","$14.0160 monthly"
"R6ID Large","r6id.large","16.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","10000 Mbps","81.25 MB/s","40000 IOPS","$110.3760 monthly","$69.3719 monthly","$33.5070 monthly"
"M6ID Large","m6id.large","8.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","10000 Mbps","81.25 MB/s","40000 IOPS","$86.6145 monthly","$54.5675 monthly","$24.4550 monthly"
"R6IDN Large","r6idn.large","16.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 25 Gigabit","1562 Mbps","195.3125 MB/s","6250 IOPS","25000 Mbps","195.3125 MB/s","100000 IOPS","$142.6347 monthly","$89.8630 monthly","$40.2960 monthly"
"M7GD Large","m7gd.large","8.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","630 Mbps","78.75 MB/s","3600 IOPS","10000 Mbps","78.75 MB/s","40000 IOPS","$77.9640 monthly","$49.1290 monthly","$19.1260 monthly"
"M6IDN Large","m6idn.large","8.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 25 Gigabit","1562 Mbps","195.3125 MB/s","6250 IOPS","25000 Mbps","195.3125 MB/s","100000 IOPS","$116.1576 monthly","$73.1825 monthly","$28.0320 monthly"
"C6GD Large","c6gd.large","4.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","630 Mbps","78.75 MB/s","3600 IOPS","4750 Mbps","78.75 MB/s","20000 IOPS","$56.0640 monthly","$35.3320 monthly","$17.6660 monthly"
"X2GD Large","x2gd.large","32.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","630 Mbps","78.75 MB/s","3600 IOPS","4750 Mbps","78.75 MB/s","20000 IOPS","$121.9100 monthly","$75.1170 monthly","$27.3750 monthly"
"M6GD Large","m6gd.large","8.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","630 Mbps","78.75 MB/s","3600 IOPS","4750 Mbps","78.75 MB/s","20000 IOPS","$65.9920 monthly","$41.6100 monthly","$21.6080 monthly"
"R6GD Large","r6gd.large","16.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","630 Mbps","78.75 MB/s","3600 IOPS","4750 Mbps","78.75 MB/s","20000 IOPS","$84.0960 monthly","$52.9980 monthly","$22.1920 monthly"
"C5 High-CPU Extra Large","c5d.xlarge","8.0 GiB","4 vCPUs","100 GB                 NVMe SSD","Up to 10 Gigabit","1150 Mbps","143.75 MB/s","6000 IOPS","4750 Mbps","143.75 MB/s","20000 IOPS","$140.1600 monthly","$88.3300 monthly","$48.4720 monthly"
"R3 High-Memory Extra Large","r3.xlarge","30.5 GiB","4 vCPUs","80 GB                 SSD","Moderate","500 Mbps","62.5 MB/s","4000 IOPS","500 Mbps","62.5 MB/s","4000 IOPS","$243.0900 monthly","$152.5700 monthly","$64.3130 monthly"
"C3 High-CPU Extra Large","c3.xlarge","7.5 GiB","4 vCPUs","80 GB                 (2 * 40 GB SSD)","Moderate","500 Mbps","62.5 MB/s","4000 IOPS","500 Mbps","62.5 MB/s","4000 IOPS","$153.3000 monthly","$106.5800 monthly","$44.1650 monthly"
"M3 General Purpose Extra Large","m3.xlarge","15.0 GiB","4 vCPUs","80 GB                 (2 * 40 GB SSD)","High","500 Mbps","62.5 MB/s","4000 IOPS","500 Mbps","62.5 MB/s","4000 IOPS","$194.1800 monthly","$138.7000 monthly","$57.8890 monthly"
"Z1D Large","z1d.large","16.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","800 Mbps","100.0 MB/s","3333 IOPS","3170 Mbps","100.0 MB/s","13333 IOPS","$135.7800 monthly","$85.4100 monthly","$25.7690 monthly"
"C5AD Large","c5ad.large","4.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","200 Mbps","25.0 MB/s","800 IOPS","3170 Mbps","25.0 MB/s","13300 IOPS","$62.7800 monthly","$39.4200 monthly","$23.7250 monthly"
"R5DN Large","r5dn.large","16.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 25 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","4750 Mbps","81.25 MB/s","18750 IOPS","$121.9100 monthly","$76.6500 monthly","$26.1340 monthly"
"M5AD Large","m5ad.large","8.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","2880 Mbps","81.25 MB/s","16000 IOPS","$75.1900 monthly","$47.4500 monthly","$28.9810 monthly"
"M5 General Purpose Large","m5d.large","8.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","4750 Mbps","81.25 MB/s","18750 IOPS","$82.4900 monthly","$51.8300 monthly","$30.9520 monthly"
"R5D Large","r5d.large","16.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","4750 Mbps","81.25 MB/s","18750 IOPS","$105.1200 monthly","$66.4300 monthly","$34.0180 monthly"
"R5AD Large","r5ad.large","16.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","2880 Mbps","81.25 MB/s","16000 IOPS","$95.6300 monthly","$60.5900 monthly","$28.3970 monthly"
"M5DN Large","m5dn.large","8.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 25 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","4750 Mbps","81.25 MB/s","18750 IOPS","$99.2800 monthly","$62.7800 monthly","$29.3460 monthly"
"M7GD Medium","m7gd.medium","4.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 12.5 Gigabit","315 Mbps","39.375 MB/s","2500 IOPS","10000 Mbps","39.375 MB/s","40000 IOPS","$38.9820 monthly","$24.5280 monthly","$5.9860 monthly"
"M6GD Medium","m6gd.medium","4.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","315 Mbps","39.375 MB/s","2500 IOPS","4750 Mbps","39.375 MB/s","20000 IOPS","$32.9960 monthly","$20.8050 monthly","$9.4170 monthly"
"R7GD Medium","r7gd.medium","8.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 12.5 Gigabit","315 Mbps","39.375 MB/s","2500 IOPS","10000 Mbps","39.375 MB/s","40000 IOPS","$49.6400 monthly","$31.2440 monthly","$20.3670 monthly"
"C6GD Medium","c6gd.medium","2.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","315 Mbps","39.375 MB/s","2500 IOPS","4750 Mbps","39.375 MB/s","20000 IOPS","$28.0320 monthly","$17.6660 monthly","$3.8690 monthly"
"X2GD Medium","x2gd.medium","16.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","315 Mbps","39.375 MB/s","2500 IOPS","4750 Mbps","39.375 MB/s","20000 IOPS","$60.9550 monthly","$37.5950 monthly","$7.4460 monthly"
"R6GD Medium","r6gd.medium","8.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","315 Mbps","39.375 MB/s","2500 IOPS","4750 Mbps","39.375 MB/s","20000 IOPS","$42.0480 monthly","$26.4990 monthly","$21.5350 monthly"
"C7GD Medium","c7gd.medium","2.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 12.5 Gigabit","315 Mbps","39.375 MB/s","2500 IOPS","10000 Mbps","39.375 MB/s","40000 IOPS","$33.1420 monthly","$20.8780 monthly","$4.5260 monthly"
"C5 High-CPU Large","c5d.large","4.0 GiB","2 vCPUs","50 GB                 NVMe SSD","Up to 10 Gigabit","650 Mbps","81.25 MB/s","4000 IOPS","4750 Mbps","81.25 MB/s","20000 IOPS","$70.0800 monthly","$43.8000 monthly","$21.3160 monthly"
"R3 High-Memory Large","r3.large","15.25 GiB","2 vCPUs","32 GB                 SSD","Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","$121.1800 monthly","$76.6500 monthly","$33.3610 monthly"
"C3 High-CPU Large","c3.large","3.75 GiB","2 vCPUs","32 GB                 (2 * 16 GB SSD)","Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","$76.6500 monthly","$53.2900 monthly","$24.5280 monthly"
"M3 General Purpose Large","m3.large","7.5 GiB","2 vCPUs","32 GB                 SSD","Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","$97.0900 monthly","$69.3500 monthly","$28.8350 monthly"
"M3 General Purpose Medium","m3.medium","3.75 GiB","1 vCPUs","4 GB                 SSD","Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","$48.9100 monthly","$35.0400 monthly","$8.0300 monthly"
"C5N 18xlarge","c5n.18xlarge","192.0 GiB","72 vCPUs","EBS only","100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$2838.2400 monthly","$1787.7700 monthly","$890.4540 monthly"
"M6IN Extra Large","m6in.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 30 Gigabit","3125 Mbps","390.625 MB/s","12500 IOPS","25000 Mbps","390.625 MB/s","100000 IOPS","$203.2758 monthly","$128.0639 monthly","$65.4810 monthly"
"C5 High-CPU 18xlarge","c5.18xlarge","144.0 GiB","72 vCPUs","EBS only","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$2233.8000 monthly","$1407.4400 monthly","$589.9130 monthly"
"C6IN Metal","c6in.metal","256.0 GiB","128 vCPUs","EBS only","200 Gigabit","100000 Mbps","12500.0 MB/s","400000 IOPS","100000 Mbps","12500.0 MB/s","400000 IOPS","$5298.0480 monthly","$3337.7717 monthly","$540.7110 monthly"
"C7A Eight Extra Large","c7a.8xlarge","64.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1198.8352 monthly","$793.0282 monthly","$429.8970 monthly"
"C5N 9xlarge","c5n.9xlarge","96.0 GiB","36 vCPUs","EBS only","50 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$1419.1200 monthly","$894.2500 monthly","$420.2610 monthly"
"R7IZ Eight Extra Large","r7iz.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$2172.4800 monthly","$1368.6624 monthly","$553.4130 monthly"
"R4 High-Memory Quadruple Extra Large","r4.4xlarge","122.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","3500 Mbps","437.5 MB/s","18750 IOPS","3500 Mbps","437.5 MB/s","18750 IOPS","$776.7200 monthly","$490.5600 monthly","$284.4810 monthly"
"M8G Eight Extra Large","m8g.8xlarge","128.0 GiB","32 vCPUs","EBS only","15 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1048.3968 monthly","$693.5146 monthly","$134.6850 monthly"
"M5 General Purpose 12xlarge","m5.12xlarge","192.0 GiB","48 vCPUs","EBS only","12 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$1681.9200 monthly","$1059.9600 monthly","$483.3330 monthly"
"R4 High-Memory Double Extra Large","r4.2xlarge","61.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","1700 Mbps","212.5 MB/s","12000 IOPS","1700 Mbps","212.5 MB/s","12000 IOPS","$388.3600 monthly","$245.2800 monthly","$143.0800 monthly"
"C5N Metal","c5n.metal","192.0 GiB","72 vCPUs","EBS only","100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$2838.2400 monthly","$1787.7700 monthly","$518.6650 monthly"
"R7IZ 12xlarge","r7iz.12xlarge","384.0 GiB","48 vCPUs","EBS only","25 Gigabit","19000 Mbps","2375.0 MB/s","76000 IOPS","19000 Mbps","2375.0 MB/s","76000 IOPS","$3258.7200 monthly","$2052.9936 monthly","$888.8480 monthly"
"R5N Metal","r5n.metal","768.0 GiB","96 vCPUs","EBS only","100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$5220.9600 monthly","$3289.3800 monthly","$566.3340 monthly"
"C8G Metal-48xl","c8g.metal-48xl","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$5589.5808 monthly","$3683.3391 monthly","$648.0940 monthly"
"M7I 16xlarge","m7i.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$2354.6880 monthly","$1557.6229 monthly","$581.5180 monthly"
"M6I Eight Extra Large","m6i.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1121.2800 monthly","$741.7238 monthly","$344.3410 monthly"
"R5 Double Extra Large","r5.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","2300 Mbps","287.5 MB/s","12000 IOPS","4750 Mbps","287.5 MB/s","18750 IOPS","$367.9200 monthly","$232.1400 monthly","$149.7230 monthly"
"M5A Extra Large","m5a.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","1085 Mbps","135.625 MB/s","6000 IOPS","2880 Mbps","135.625 MB/s","16000 IOPS","$125.5600 monthly","$78.8400 monthly","$41.5370 monthly"
"M7I Extra Large","m7i.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","1250 Mbps","156.25 MB/s","6000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$147.1680 monthly","$97.3528 monthly","$62.8530 monthly"
"M8G 16xlarge","m8g.16xlarge","256.0 GiB","64 vCPUs","EBS only","30 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$2096.7936 monthly","$1387.0292 monthly","$262.8730 monthly"
"M7A Eight Extra Large","m7a.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1353.9456 monthly","$895.6370 monthly","$539.6160 monthly"
"M7A Extra Large","m7a.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","1250 Mbps","156.25 MB/s","6000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$169.2432 monthly","$111.9528 monthly","$46.7930 monthly"
"R7I Extra Large","r7i.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","1250 Mbps","156.25 MB/s","6000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$193.1580 monthly","$127.7719 monthly","$75.0440 monthly"
"R6A 24xlarge","r6a.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$3973.5360 monthly","$2628.4964 monthly","$1040.1040 monthly"
"C7G Eight Extra Large","c7g.8xlarge","64.0 GiB","32 vCPUs","EBS only","15 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$846.8000 monthly","$558.0120 monthly","$221.9200 monthly"
"M5 General Purpose Eight Extra Large","m5.8xlarge","128.0 GiB","32 vCPUs","EBS only","10 Gigabit","6800 Mbps","850.0 MB/s","30000 IOPS","6800 Mbps","850.0 MB/s","30000 IOPS","$1121.2800 monthly","$706.6400 monthly","$368.3580 monthly"
"M8G Extra Large","m8g.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","1250 Mbps","156.25 MB/s","6000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$131.0496 monthly","$86.6875 monthly","$17.0090 monthly"
"M5 General Purpose Quadruple Extra Large","m5.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","4750 Mbps","593.75 MB/s","18750 IOPS","4750 Mbps","593.75 MB/s","18750 IOPS","$560.6400 monthly","$353.3200 monthly","$195.7860 monthly"
"C6I Large","c6i.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","10000 Mbps","81.25 MB/s","40000 IOPS","$62.0500 monthly","$41.0479 monthly","$20.2940 monthly"
"C6IN Double Extra Large","c6in.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 40 Gigabit","6250 Mbps","781.25 MB/s","25000 IOPS","25000 Mbps","781.25 MB/s","100000 IOPS","$331.1280 monthly","$208.6121 monthly","$127.3850 monthly"
"C4 High-CPU Extra Large","c4.xlarge","7.5 GiB","4 vCPUs","EBS only","High","750 Mbps","93.75 MB/s","6000 IOPS","750 Mbps","93.75 MB/s","6000 IOPS","$145.2700 monthly","$91.9800 monthly","$40.8070 monthly"
"R5A Eight Extra Large","r5a.8xlarge","256.0 GiB","32 vCPUs","EBS only","Up to 10 Gigabit","4750 Mbps","593.75 MB/s","20000 IOPS","4750 Mbps","593.75 MB/s","20000 IOPS","$1319.8400 monthly","$831.4700 monthly","$358.7220 monthly"
"M5ZN 3xlarge","m5zn.3xlarge","48.0 GiB","12 vCPUs","EBS only","Up to 25 Gigabit","4750 Mbps","593.75 MB/s","20000 IOPS","4750 Mbps","593.75 MB/s","20000 IOPS","$723.4300 monthly","$455.7390 monthly","$345.5090 monthly"
"C6I 16xlarge","c6i.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$1985.6000 monthly","$1313.4744 monthly","$561.6620 monthly"
"T4G Large","t4g.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","695 Mbps","86.875 MB/s","4000 IOPS","2780 Mbps","86.875 MB/s","15700 IOPS","$49.0560 monthly","$30.7330 monthly","$10.5120 monthly"
"R5B 12xlarge","r5b.12xlarge","384.0 GiB","48 vCPUs","EBS only","12 Gigabit","30000 Mbps","3750.0 MB/s","130000 IOPS","30000 Mbps","3750.0 MB/s","130000 IOPS","$2610.4800 monthly","$1644.6024 monthly","$1205.7410 monthly"
"INF1 Double Extra Large","inf1.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","1190 Mbps","148.75 MB/s","6000 IOPS","4750 Mbps","148.75 MB/s","20000 IOPS","$264.2600 monthly","$166.4400 monthly","$76.8690 monthly"
