"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"M7A Double Extra Large","m7a.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$338.4864 monthly","$223.9056 monthly","$117.0190 monthly"
"R6IN Double Extra Large","r6in.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 40 Gigabit","6250 Mbps","781.25 MB/s","25000 IOPS","25000 Mbps","781.25 MB/s","100000 IOPS","$509.0436 monthly","$320.6963 monthly","$171.6230 monthly"
"U-3TB1 56xlarge","u-3tb1.56xlarge","3072.0 GiB","224 vCPUs","EBS only","50 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$19929.0000 monthly","$12281.1477 monthly","unavailable"
"M5ZN 12xlarge","m5zn.12xlarge","192.0 GiB","48 vCPUs","EBS only","100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$2893.7930 monthly","$1823.1020 monthly","$1379.9920 monthly"
"M6G Extra Large","m6g.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","1188 Mbps","148.5 MB/s","6000 IOPS","4750 Mbps","148.5 MB/s","20000 IOPS","$112.4200 monthly","$70.5180 monthly","$30.0030 monthly"
"R7G Metal","r7g.metal","512.0 GiB","64 vCPUs","EBS only","30 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$2501.8560 monthly","$1654.9830 monthly","$369.6720 monthly"
"M8G Metal-48xl","m8g.metal-48xl","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$6290.3808 monthly","$4161.0876 monthly","$813.7310 monthly"
"M6G Double Extra Large","m6g.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","2375 Mbps","296.875 MB/s","12000 IOPS","4750 Mbps","296.875 MB/s","20000 IOPS","$224.8400 monthly","$141.0360 monthly","$74.9710 monthly"
"C6I 32xlarge","c6i.32xlarge","256.0 GiB","128 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$3971.2000 monthly","$2626.9488 monthly","$1028.7160 monthly"
"T2 Double Extra Large","t2.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   4h 4.8m                   burst","EBS only","Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","$270.9760 monthly","$167.9000 monthly","$40.5880 monthly"
"R6A 48xlarge","r6a.48xlarge","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$7947.0720 monthly","$5256.9855 monthly","$1016.4520 monthly"
"R5N Double Extra Large","r5n.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","2300 Mbps","287.5 MB/s","12000 IOPS","4750 Mbps","287.5 MB/s","18750 IOPS","$435.0800 monthly","$273.7500 monthly","$218.4160 monthly"
"R5 Eight Extra Large","r5.8xlarge","256.0 GiB","32 vCPUs","EBS only","10 Gigabit","6800 Mbps","850.0 MB/s","30000 IOPS","6800 Mbps","850.0 MB/s","30000 IOPS","$1471.6800 monthly","$927.1000 monthly","$333.4640 monthly"
"M6A 32xlarge","m6a.32xlarge","512.0 GiB","128 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$4036.6080 monthly","$2670.2159 monthly","$1132.5950 monthly"
"R6I 12xlarge","r6i.12xlarge","384.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","15000 Mbps","1875.0 MB/s","60000 IOPS","15000 Mbps","1875.0 MB/s","60000 IOPS","$2207.5200 monthly","$1460.2774 monthly","$618.0910 monthly"
"R7IZ Double Extra Large","r7iz.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","3168 Mbps","396.0 MB/s","13333 IOPS","10000 Mbps","396.0 MB/s","40000 IOPS","$543.1200 monthly","$342.1656 monthly","$159.3590 monthly"
"R5 Large","r5.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","4750 Mbps","81.25 MB/s","18750 IOPS","$91.9800 monthly","$57.6700 monthly","$28.1050 monthly"
"C7G Quadruple Extra Large","c7g.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 15 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$423.4000 monthly","$279.0060 monthly","$111.9820 monthly"
"R5N 12xlarge","r5n.12xlarge","384.0 GiB","48 vCPUs","EBS only","50 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$2610.4800 monthly","$1644.6900 monthly","$686.4190 monthly"
"M4 General Purpose Extra Large","m4.xlarge","16.0 GiB","4 vCPUs","EBS only","High","750 Mbps","93.75 MB/s","6000 IOPS","750 Mbps","93.75 MB/s","6000 IOPS","$146.0000 monthly","$90.4470 monthly","$51.6110 monthly"
"M5A Quadruple Extra Large","m5a.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","2880 Mbps","360.0 MB/s","16000 IOPS","2880 Mbps","360.0 MB/s","16000 IOPS","$502.2400 monthly","$316.0900 monthly","$208.0500 monthly"
"C7I Quadruple Extra Large","c7i.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$521.2200 monthly","$344.7863 monthly","$200.6770 monthly"
"INF1 6xlarge","inf1.6xlarge","48.0 GiB","24 vCPUs","EBS only","25 Gigabit","4750 Mbps","593.75 MB/s","20000 IOPS","4750 Mbps","593.75 MB/s","20000 IOPS","$861.4000 monthly","$543.1200 monthly","$231.7750 monthly"
"G3S Extra Large","g3s.xlarge","30.5 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","850 Mbps","106.25 MB/s","5000 IOPS","850 Mbps","106.25 MB/s","5000 IOPS","$547.5000 monthly","$402.2300 monthly","$234.6220 monthly"
"M6G Quadruple Extra Large","m6g.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","4750 Mbps","593.75 MB/s","20000 IOPS","4750 Mbps","593.75 MB/s","20000 IOPS","$449.6800 monthly","$282.0720 monthly","$165.2720 monthly"
"R7I Metal-48xl","r7i.metal-48xl","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$9271.5840 monthly","$6133.1534 monthly","$927.1730 monthly"
