Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost,Baseline bandwidth (Mbps),Maximum bandwidth (Mbps),"Baseline throughput (MB/s, 128 KiB I/O)","Maximum throughput (MB/s, 128 KiB I/O)",Baseline IOPS (16 KiB I/O),Maximum IOPS (16 KiB I/O)
G5 Graphics and Machine Learning GPU 48xlarge,g5.48xlarge,768.0 GiB,192 vCPUs,7600 GB                 (2 * 3800 GB NVMe SSD),100 Gigabit,$17.2756 hourly,$10.8836 hourly,$4.9351 hourly,$26.1076 hourly,$19.7157 hourly
X2IEDN 24xlarge,x2iedn.24xlarge,3072.0 GiB,96 vCPUs,2850 GB                 (2 * 1425 GB NVMe SSD),75 Gigabit,$22.8173 hourly,$14.0395 hourly,$2.2817 hourly,$27.2333 hourly,$18.4554 hourly
X2IEDN 32xlarge,x2iedn.32xlarge,4096.0 GiB,128 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),100 Gigabit,$30.4230 hourly,$18.7193 hourly,$3.0423 hourly,$36.3110 hourly,$24.6073 hourly
X2IEDN Metal,x2iedn.metal,4096.0 GiB,128 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),100 Gigabit,$30.4230 hourly,$18.7193 hourly,unavailable,$36.3110 hourly,$24.6073 hourly
U-6TB1 56xlarge,u-6tb1.56xlarge,6144.0 GiB,224 vCPUs,EBS only,100 Gigabit,$49.3318 hourly,$30.4005 hourly,unavailable,$59.6358 hourly,$40.7045 hourly
U-6TB1 112xlarge,u-6tb1.112xlarge,6144.0 GiB,448 vCPUs,EBS only,100 Gigabit,$58.0450 hourly,$35.7699 hourly,unavailable,$78.6530 hourly,$56.3779 hourly
U-9TB1 112xlarge,u-9tb1.112xlarge,9216.0 GiB,448 vCPUs,EBS only,100 Gigabit,$91.6500 hourly,$56.4789 hourly,unavailable,$112.2580 hourly,$77.0868 hourly
P5 48xlarge,p5.48xlarge,2048.0 GiB,192 vCPUs,30400 GB                 (8 * 3800 GB NVMe SSD),3200 Gigabit,$105.2024 hourly,unavailable,unavailable,unavailable,unavailable
T3A Nano,t3a.nano,0.5 GiB,2 vCPUs                                                         for a                   1h 12m                   burst,EBS only,Up to 5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,45.00,2085.00,5.62,260.62,250.00,11800.00
T2 Nano,t2.nano,0.5 GiB,1 vCPUs                                                         for a                   1h 12m                   burst,EBS only,Low to Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
T3A Micro,t3a.micro,1.0 GiB,2 vCPUs                                                         for a                   2h 24m                   burst,EBS only,Up to 5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,90.00,2085.00,11.25,260.62,500.00,11800.00
T2 Micro,t2.micro,1.0 GiB,1 vCPUs                                                         for a                   2h 24m                   burst,EBS only,Low to Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
T3A Small,t3a.small,2.0 GiB,2 vCPUs                                                         for a                   4h 48m                   burst,EBS only,Up to 5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,175.00,2085.00,21.88,260.62,1000.00,11800.00
T1 Micro,t1.micro,0.613 GiB,1 vCPUs,EBS only,Very Low,unavailable,unavailable,unavailable,unavailable,unavailable
T2 Small,t2.small,2.0 GiB,1 vCPUs                                                         for a                   4h 48m                   burst,EBS only,Low to Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Medium,a1.medium,2.0 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,300.00,3500.00,37.50,437.50,2500.00,20000.00
T3A Medium,t3a.medium,4.0 GiB,2 vCPUs                                                         for a                   4h 48m                   burst,EBS only,Up to 5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,350.00,2085.00,43.75,260.62,2000.00,11800.00
C8G Medium,c8g.medium,2.0 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,315.00,10000.00,39.38,1250.00,2500.00,40000.00
M1 General Purpose Small,m1.small,1.7 GiB,1 vCPUs,160 GB                 HDD,Low,unavailable,unavailable,unavailable,unavailable,unavailable
M8G Medium,m8g.medium,4.0 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,315.00,10000.00,39.38,1250.00,2500.00,40000.00
T2 Medium,t2.medium,4.0 GiB,2 vCPUs                                                         for a                   4h 48m                   burst,EBS only,Low to Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Large,a1.large,4.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,525.00,3500.00,65.62,437.50,4000.00,20000.00
R8G Medium,r8g.medium,8.0 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,315.00,10000.00,39.38,1250.00,2500.00,40000.00
C7GN Medium,c7gn.medium,2.0 GiB,1 vCPUs,EBS only,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,521.00,10000.00,65.12,1250.00,2083.00,40000.00
M3 General Purpose Medium,m3.medium,3.75 GiB,1 vCPUs,4 GB                 SSD,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
T3A Large,t3a.large,8.0 GiB,2 vCPUs                                                         for a                   7h 12m                   burst,EBS only,Up to 5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,695.00,2780.00,86.88,347.50,4000.00,15700.00
C6A Large,c6a.large,4.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,650.00,10000.00,81.25,1250.00,3600.00,40000.00
C8G Large,c8g.large,4.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,630.00,10000.00,78.75,1250.00,3600.00,40000.00
X2GD Medium,x2gd.medium,16.0 GiB,1 vCPUs,59 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,315.00,4750.00,39.38,593.75,2500.00,20000.00
C5AD Large,c5ad.large,4.0 GiB,2 vCPUs,75 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,200.00,3170.00,25.00,396.25,800.00,13300.00
M5A Large,m5a.large,8.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,650.00,2880.00,81.25,360.00,3600.00,16000.00
M6A Large,m6a.large,8.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,650.00,10000.00,81.25,1250.00,3600.00,40000.00
M1 General Purpose Medium,m1.medium,3.75 GiB,1 vCPUs,410 GB                 HDD,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
M8G Large,m8g.large,8.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,630.00,10000.00,78.75,1250.00,3600.00,40000.00
T2 Large,t2.large,8.0 GiB,2 vCPUs                                                         for a                   7h 12m                   burst,EBS only,Low to Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
X8G Medium,x8g.medium,16.0 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,315.00,10000.00,39.38,1250.00,2500.00,40000.00
C4 High-CPU Large,c4.large,3.75 GiB,2 vCPUs,EBS only,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
M4 General Purpose Large,m4.large,8.0 GiB,2 vCPUs,EBS only,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
C6ID Large,c6id.large,4.0 GiB,2 vCPUs,118 GB                 NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,650.00,10000.00,81.25,1250.00,3600.00,40000.00
A1 Extra Large,a1.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,800.00,3500.00,100.00,437.50,6000.00,20000.00
M5AD Large,m5ad.large,8.0 GiB,2 vCPUs,75 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,650.00,2880.00,81.25,360.00,3600.00,16000.00
C3 High-CPU Large,c3.large,3.75 GiB,2 vCPUs,32 GB                 (2 * 16 GB SSD),Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
R5A Large,r5a.large,16.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,650.00,2880.00,81.25,360.00,3600.00,16000.00
R6A Large,r6a.large,16.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,650.00,10000.00,81.25,1250.00,3600.00,40000.00
R8G Large,r8g.large,16.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,630.00,10000.00,78.75,1250.00,3600.00,40000.00
M6ID Large,m6id.large,8.0 GiB,2 vCPUs,118 GB                 NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,650.00,10000.00,81.25,1250.00,3600.00,40000.00
M5N Large,m5n.large,8.0 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,650.00,4750.00,81.25,593.75,3600.00,18750.00
C7GN Large,c7gn.large,4.0 GiB,2 vCPUs,EBS only,Up to 30 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1042.00,10000.00,130.25,1250.00,4167.00,40000.00
C1 High-CPU Medium,c1.medium,1.7 GiB,2 vCPUs,350 GB                 HDD,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
R5AD Large,r5ad.large,16.0 GiB,2 vCPUs,75 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,650.00,2880.00,81.25,360.00,3600.00,16000.00
R4 High-Memory Large,r4.large,15.25 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M3 General Purpose Large,m3.large,7.5 GiB,2 vCPUs,32 GB                 SSD,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
M5DN Large,m5dn.large,8.0 GiB,2 vCPUs,75 GB                 NVMe SSD,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,650.00,4750.00,81.25,593.75,3600.00,18750.00
IS4GEN Medium,is4gen.medium,6.0 GiB,1 vCPUs,937 GB                 NVMe SSD,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,625.00,10000.00,78.12,1250.00,2500.00,40000.00
T3A Extra Large,t3a.xlarge,16.0 GiB,4 vCPUs                                                         for a                   9h 36m                   burst,EBS only,Up to 5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,695.00,2780.00,86.88,347.50,4000.00,15700.00
R6ID Large,r6id.large,16.0 GiB,2 vCPUs,118 GB                 NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,650.00,10000.00,81.25,1250.00,3600.00,40000.00
C6A Extra Large,c6a.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
I4G Large,i4g.large,16.0 GiB,2 vCPUs,468 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,625.00,10000.00,78.12,1250.00,2500.00,40000.00
C8G Extra Large,c8g.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
M5ZN Large,m5zn.large,8.0 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,800.00,3170.00,100.00,396.25,3333.00,13333.00
R3 High-Memory Large,r3.large,15.25 GiB,2 vCPUs,32 GB                 SSD,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
X2GD Large,x2gd.large,32.0 GiB,2 vCPUs,118 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,630.00,4750.00,78.75,593.75,3600.00,20000.00
M5A Extra Large,m5a.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1085.00,2880.00,135.62,360.00,6000.00,16000.00
C5AD Extra Large,c5ad.xlarge,8.0 GiB,4 vCPUs,150 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,400.00,3170.00,50.00,396.25,1600.00,13300.00
M6A Extra Large,m6a.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
M1 General Purpose Large,m1.large,7.5 GiB,2 vCPUs,840 GB                 (2 * 420 GB HDD),Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
M8G Extra Large,m8g.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
IM4GN Large,im4gn.large,8.0 GiB,2 vCPUs,937 GB                 NVMe SSD,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,5000.00,40000.00
T2 Extra Large,t2.xlarge,16.0 GiB,4 vCPUs                                                         for a                   5h 24m                   burst,EBS only,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
Z1D Large,z1d.large,16.0 GiB,2 vCPUs,75 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,800.00,3170.00,100.00,396.25,3333.00,13333.00
R7IZ Large,r7iz.large,16.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,792.00,10000.00,99.00,1250.00,3600.00,40000.00
X8G Large,x8g.large,32.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,630.00,10000.00,78.75,1250.00,3600.00,40000.00
C4 High-CPU Extra Large,c4.xlarge,7.5 GiB,4 vCPUs,EBS only,High,unavailable,unavailable,unavailable,unavailable,unavailable
M4 General Purpose Extra Large,m4.xlarge,16.0 GiB,4 vCPUs,EBS only,High,unavailable,unavailable,unavailable,unavailable,unavailable
C6ID Extra Large,c6id.xlarge,8.0 GiB,4 vCPUs,237 GB                 NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
A1 Double Extra Large,a1.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1750.00,3500.00,218.75,437.50,10000.00,20000.00
M5AD Extra Large,m5ad.xlarge,16.0 GiB,4 vCPUs,150 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1085.00,2880.00,135.62,360.00,6000.00,16000.00
C3 High-CPU Extra Large,c3.xlarge,7.5 GiB,4 vCPUs,80 GB                 (2 * 40 GB SSD),Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
R5A Extra Large,r5a.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1085.00,2880.00,135.62,360.00,6000.00,16000.00
R6A Extra Large,r6a.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
R8G Extra Large,r8g.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
M6ID Extra Large,m6id.xlarge,16.0 GiB,4 vCPUs,237 GB                 NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
M5N Extra Large,m5n.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1150.00,4750.00,143.75,593.75,6000.00,18750.00
M2 High Memory Extra Large,m2.xlarge,17.1 GiB,2 vCPUs,420 GB                 HDD,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
C7GN Extra Large,c7gn.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 40 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2083.00,10000.00,260.38,1250.00,8333.00,40000.00
R5AD Extra Large,r5ad.xlarge,32.0 GiB,4 vCPUs,150 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1085.00,2880.00,135.62,360.00,6000.00,16000.00
R4 High-Memory Extra Large,r4.xlarge,30.5 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M3 General Purpose Extra Large,m3.xlarge,15.0 GiB,4 vCPUs,80 GB                 (2 * 40 GB SSD),High,unavailable,unavailable,unavailable,unavailable,unavailable
M5DN Extra Large,m5dn.xlarge,16.0 GiB,4 vCPUs,150 GB                 NVMe SSD,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1150.00,4750.00,143.75,593.75,6000.00,18750.00
IS4GEN Large,is4gen.large,12.0 GiB,2 vCPUs,1875 GB                 NVMe SSD,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,5000.00,40000.00
T3A Double Extra Large,t3a.2xlarge,32.0 GiB,8 vCPUs                                                         for a                   9h 36m                   burst,EBS only,Up to 5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,695.00,2780.00,86.88,347.50,4000.00,15700.00
R6ID Extra Large,r6id.xlarge,32.0 GiB,4 vCPUs,237 GB                 NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
C6A Double Extra Large,c6a.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
I4G Extra Large,i4g.xlarge,32.0 GiB,4 vCPUs,937 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,5000.00,40000.00
C8G Double Extra Large,c8g.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
M5ZN Extra Large,m5zn.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1564.00,3170.00,195.50,396.25,6667.00,13333.00
R3 High-Memory Extra Large,r3.xlarge,30.5 GiB,4 vCPUs,80 GB                 SSD,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
X2GD Extra Large,x2gd.xlarge,64.0 GiB,4 vCPUs,237 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1188.00,4750.00,148.50,593.75,6000.00,20000.00
C5AD Double Extra Large,c5ad.2xlarge,16.0 GiB,8 vCPUs,300 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,800.00,3170.00,100.00,396.25,3200.00,13300.00
M5A Double Extra Large,m5a.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1580.00,2880.00,197.50,360.00,8333.00,16000.00
M6A Double Extra Large,m6a.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
M1 General Purpose Extra Large,m1.xlarge,15.0 GiB,4 vCPUs,1680 GB                 (4 * 420 GB HDD),High,unavailable,unavailable,unavailable,unavailable,unavailable
M8G Double Extra Large,m8g.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
IM4GN Extra Large,im4gn.xlarge,16.0 GiB,4 vCPUs,1875 GB                 NVMe SSD,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,10000.00,40000.00
T2 Double Extra Large,t2.2xlarge,32.0 GiB,8 vCPUs                                                         for a                   4h 4.8m                   burst,EBS only,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
R7IZ Extra Large,r7iz.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1584.00,10000.00,198.00,1250.00,6667.00,40000.00
Z1D Extra Large,z1d.xlarge,32.0 GiB,4 vCPUs,150 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1580.00,3170.00,197.50,396.25,6667.00,13333.00
G4AD Extra Large,g4ad.xlarge,16.0 GiB,4 vCPUs,150 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,400.00,3170.00,50.00,396.25,1700.00,13333.00
X8G Extra Large,x8g.xlarge,64.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
C4 High-CPU Double Extra Large,c4.2xlarge,15.0 GiB,8 vCPUs,EBS only,High,unavailable,unavailable,unavailable,unavailable,unavailable
M4 General Purpose Double Extra Large,m4.2xlarge,32.0 GiB,8 vCPUs,EBS only,High,unavailable,unavailable,unavailable,unavailable,unavailable
C6ID Double Extra Large,c6id.2xlarge,16.0 GiB,8 vCPUs,474 GB                 NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
A1 Quadruple Extra Large,a1.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Metal,a1.metal,32.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5AD Double Extra Large,m5ad.2xlarge,32.0 GiB,8 vCPUs,300 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1580.00,2880.00,197.50,360.00,8333.00,16000.00
C3 High-CPU Double Extra Large,c3.2xlarge,15.0 GiB,8 vCPUs,160 GB                 (2 * 80 GB SSD),High,unavailable,unavailable,unavailable,unavailable,unavailable
G5G Extra Large,g5g.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1188.00,4750.00,148.50,593.75,6000.00,20000.00
R5A Double Extra Large,r5a.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1580.00,2880.00,197.50,360.00,8333.00,16000.00
R6A Double Extra Large,r6a.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
H1 Double Extra Large,h1.2xlarge,32.0 GiB,8 vCPUs,2000 GB                 HDD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R8G Double Extra Large,r8g.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
M6ID Double Extra Large,m6id.2xlarge,32.0 GiB,8 vCPUs,474 GB                 NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
M5N Double Extra Large,m5n.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2300.00,4750.00,287.50,593.75,12000.00,18750.00
M2 High Memory Double Extra Large,m2.2xlarge,34.2 GiB,4 vCPUs,850 GB                 HDD,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
D3 Extra Large,d3.xlarge,32.0 GiB,4 vCPUs,5940 GB                 (3 * 1980 GB NVMe HDD),Up to 15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,850.00,2800.00,106.25,350.00,5000.00,15000.00
C7GN Double Extra Large,c7gn.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,4167.00,10000.00,520.88,1250.00,16667.00,40000.00
C1 High-CPU Extra Large,c1.xlarge,7.0 GiB,8 vCPUs,1680 GB                 (4 * 420 GB HDD),High,unavailable,unavailable,unavailable,unavailable,unavailable
R5AD Double Extra Large,r5ad.2xlarge,64.0 GiB,8 vCPUs,300 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,1580.00,2880.00,197.50,360.00,8333.00,16000.00
D3EN Extra Large,d3en.xlarge,16.0 GiB,4 vCPUs,27960 GB                 (2 * 13980 GB NVMe HDD),Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,850.00,2800.00,106.25,350.00,5000.00,15000.00
R4 High-Memory Double Extra Large,r4.2xlarge,61.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M3 General Purpose Double Extra Large,m3.2xlarge,30.0 GiB,8 vCPUs,160 GB                 (2 * 80 GB SSD),High,unavailable,unavailable,unavailable,unavailable,unavailable
G4AD Double Extra Large,g4ad.2xlarge,32.0 GiB,8 vCPUs,300 GB                 NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,800.00,3170.00,100.00,396.25,3400.00,13333.00
M5DN Double Extra Large,m5dn.2xlarge,32.0 GiB,8 vCPUs,300 GB                 NVMe SSD,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2300.00,4750.00,287.50,593.75,12000.00,18750.00
G5G Double Extra Large,g5g.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2375.00,4750.00,296.88,593.75,12000.00,20000.00
IS4GEN Extra Large,is4gen.xlarge,24.0 GiB,4 vCPUs,3750 GB                 NVMe SSD,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,10000.00,40000.00
R6ID Double Extra Large,r6id.2xlarge,64.0 GiB,8 vCPUs,474 GB                 NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
